name,smarts
">_2_ester_groups","C(=O)O[C,H1].C(=O)O[C,H1].C(=O)O[C,H1]"
"2-halo_pyridine","n1c([F,Cl,Br,I])cccc1"
"acid_halide","C(=O)[Cl,Br,I,F]"
"acyclic_C=C-O","C=[C!r]O"
"acyl_cyanide","N#CC(=O)"
"acyl_hydrazine","C(=O)N[NH2]"
"aldehyde","[CH1](=O)"
"Aliphatic_long_chain","[R0;D2][R0;D2][R0;D2][R0;D2]"
"alkyl_halide","[CX4][Cl,Br,I]"
"amidotetrazole","c1nnnn1C=O"
"aniline","c1cc([NH2])ccc1"
"azepane","[CH2R2]1N[CH2R2][CH2R2][CH2R2][CH2R2][CH2R2]1"
"Azido_group","N=[N+]=[N-]"
"Azo_group","N#N"
"azocane","[CH2R2]1N[CH2R2][CH2R2][CH2R2][CH2R2][CH2R2][CH2R2]1"
"benzidine","[cR2]1[cR2][cR2]([Nv3X3,Nv4X4])[cR2][cR2][cR2]1[cR2]2[cR2][cR2][cR2]([Nv3X3,Nv4X4])[cR2][cR2]2"
"beta-keto/anhydride","[C,c](=O)[CX4,CR0X3,O][C,c](=O)"
"biotin_analogue","C12C(NC(N1)=O)CSC2"
"Carbo_cation/anion","[C+,c+,C-,c-]"
"catechol","c1c([OH])c([OH,NH2,NH])ccc1"
"charged_oxygen_or_sulfur_atoms","[O+,o+,S+,s+]"
"chinone_1","C1(=[O,N])C=CC(=[O,N])C=C1"
"chinone_2","C1(=[O,N])C(=[O,N])C=CC=C1"
"conjugated_nitrile_group","C=[C!r]C#N"
"crown_ether","[OR2,NR2]@[CR2]@[CR2]@[OR2,NR2]@[CR2]@[CR2]@[OR2,NR2]"
"cumarine","c1ccc2c(c1)ccc(=O)o2"
"cyanamide","N[CH2]C#N"
"cyanate_/aminonitrile_/thiocyanate","[N,O,S]C#N"
"cyanohydrins","N#CC[OH]"
"cycloheptane_1","[CR2]1[CR2][CR2][CR2][CR2][CR2][CR2]1"
"cycloheptane_2","[CR2]1[CR2][CR2]cc[CR2][CR2]1"
"cyclooctane_1","[CR2]1[CR2][CR2][CR2][CR2][CR2][CR2][CR2]1"
"cyclooctane_2","[CR2]1[CR2][CR2]cc[CR2][CR2][CR2]1"
"diaminobenzene_1","[cR2]1[cR2]c([N+0X3R0,nX3R0])c([N+0X3R0,nX3R0])[cR2][cR2]1"
"diaminobenzene_2","[cR2]1[cR2]c([N+0X3R0,nX3R0])[cR2]c([N+0X3R0,nX3R0])[cR2]1"
"diaminobenzene_3","[cR2]1[cR2]c([N+0X3R0,nX3R0])[cR2][cR2]c1([N+0X3R0,nX3R0])"
"diazo_group","[N!R]=[N!R]"
"diketo_group","[C,c](=O)[C,c](=O)"
"disulphide","SS"
"enamine","[CX2R0][NX3R0]"
"ester_of_HOBT","C(=O)Onnn"
"four_member_lactones","C1(=O)OCC1"
"halogenated_ring_1","c1cc([Cl,Br,I,F])cc([Cl,Br,I,F])c1[Cl,Br,I,F]"
"halogenated_ring_2","c1ccc([Cl,Br,I,F])c([Cl,Br,I,F])c1[Cl,Br,I,F]"
"heavy_metal","[Hg,Fe,As,Sb,Zn,Se,se,Te,B,Si]"
"het-C-het_not_in_ring","[NX3R0,NX4R0,OR0,SX2R0][CX4][NX3R0,NX4R0,OR0,SX2R0]"
"hydantoin","C1NC(=O)NC(=O)1"
"hydrazine","N[NH2]"
"hydroquinone","[OH]c1ccc([OH,NH2,NH])cc1"
"hydroxamic_acid","C(=O)N[OH]"
"imine_1","C=[N!R]"
"imine_2","N=[CR0][N,n,O,S]"
"iodine","I"
"isocyanate","N=C=O"
"isolated_alkene","[$([CH2]),$([CH][CX4]),$(C([CX4])[CX4])]=[$([CH2]),$([CH][CX4]),$(C([CX4])[CX4])]"
"ketene","C=C=O"
"methylidene-1,3-dithiole","S1C=CSC1=S"
"Michael_acceptor_1","C=!@CC=[O,S]"
"Michael_acceptor_2","[$([CH]),$(CC)]#CC(=O)[C,c]"
"Michael_acceptor_3","[$([CH]),$(CC)]#CS(=O)(=O)[C,c]"
"Michael_acceptor_4","C=C(C=O)C=O"
"Michael_acceptor_5","[$([CH]),$(CC)]#CC(=O)O[C,c]"
"N_oxide","[NX2,nX3][OX1]"
"N-acyl-2-amino-5-mercapto-1,3,4-_thiadiazole","s1c(S)nnc1NC=O"
"N-C-halo","NC[F,Cl,Br,I]"
"N-halo","[NX3,NX4][F,Cl,Br,I]"
"N-hydroxyl_pyridine","n[OH]"
"nitro_group","[N+](=O)[O-]"
"N-nitroso","[#7]-N=O"
"oxime_1","[C,c]=N[OH]"
"oxime_2","[C,c]=NOC=O"
"Oxygen-nitrogen_single_bond","[OR0,NR0][OR0,NR0]"
"Perfluorinated_chain","[CX4](F)(F)[CX4](F)F"
"peroxide","OO"
"phenol_ester","c1ccccc1OC(=O)[#6]"
"phenyl_carbonate","c1ccccc1OC(=O)O"
"phosphor","P"
"phthalimide","[cR,CR]~C(=O)NC(=O)~[cR,CR]"
"Polycyclic_aromatic_hydrocarbon_1","a1aa2a3a(a1)A=AA=A3=AA=A2"
"Polycyclic_aromatic_hydrocarbon_2","a21aa3a(aa1aaaa2)aaaa3"
"Polycyclic_aromatic_hydrocarbon_3","a31a(a2a(aa1)aaaa2)aaaa3"
"polyene","[CR0]=[CR0][CR0]=[CR0]"
"quaternary_nitrogen_1","[s,S,c,C,n,N,o,O]~[nX3+,NX3+](~[s,S,c,C,n,N])~[s,S,c,C,n,N]"
"quaternary_nitrogen_2","[s,S,c,C,n,N,o,O]~[n+,N+](~[s,S,c,C,n,N,o,O])(~[s,S,c,C,n,N,o,O])~[s,S,c,C,n,N,o,O]"
"quaternary_nitrogen_3","[*]=[N+]=[*]"
"saponine_derivative","O1CCCCC1OC2CCC3CCCCC3C2"
"silicon_halogen","[Si][F,Cl,Br,I]"
"stilbene","c1ccccc1C=Cc2ccccc2"
"sulfinic_acid","[SX3](=O)[O-,OH]"
"Sulfonic_acid_1","[C,c]S(=O)(=O)O[C,c]"
"Sulfonic_acid_2","S(=O)(=O)[O-,OH]"
"sulfonyl_cyanide","S(=O)(=O)C#N"
"sulfur_oxygen_single_bond","[SX2]O"
"sulphate","OS(=O)(=O)[O-]"
"sulphur_nitrogen_single_bond","[SX2H0][N]"
"Thiobenzothiazole_1","c12ccccc1(SC(S)=N2)"
"thiobenzothiazole_2","c12ccccc1(SC(=S)N2)"
"Thiocarbonyl_group","[C,c]=S"
"thioester","SC=O"
"thiol_1","[S-]"
"thiol_2","[SH]"
"Three-membered_heterocycle","*1[O,S,N]*1"
"triflate","OS(=O)(=O)C(F)(F)F"
"triphenyl_methyl-silyl","[SiR0,CR0](c1ccccc1)(c2ccccc2)(c3ccccc3)"
"triple_bond","C#C"
